date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:56:28	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5847519c9e995%22	http://gw2.voids.cn/robots.txt		(from )
05:56:28	84576/84576	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:30%20GMT	http://gw2.voids.cn/	Z:/Downloads/web/gw2/gw2.voids.cn/index.html	(from )
05:56:29	2722/2722	---M--	200	added ('OK')	image/png	etag:%22aa2-58621ad524854%22	http://gw2.voids.cn/images/logo-mid-black.png	Z:/Downloads/web/gw2/gw2.voids.cn/images/logo-mid-black.png	(from http://gw2.voids.cn/)
05:56:29	124962/124962	---M-Z	200	added ('OK')	text/css	etag:%221e822-5a610cfa031d8-gzip%22	http://gw2.voids.cn/static/material-pro/assets/plugins/bootstrap/css/bootstrap.min.css	Z:/Downloads/web/gw2/gw2.voids.cn/static/material-pro/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://gw2.voids.cn/)
05:56:29	115750/115750	---MC-	200	added ('OK')	text/javascript	date:Wed,%2001%20Jul%202020%2021:56:31%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	Z:/Downloads/web/gw2/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://gw2.voids.cn/)
05:56:30	22882/22882	---M-Z	200	added ('OK')	text/css	etag:%225962-5a610d7c50868-gzip%22	http://gw2.voids.cn/static/material-pro/assets/plugins/sweetalert/sweetalert.css	Z:/Downloads/web/gw2/gw2.voids.cn/static/material-pro/assets/plugins/sweetalert/sweetalert.css	(from http://gw2.voids.cn/)
05:56:30	6768/6768	---M-Z	200	added ('OK')	text/css	etag:%221a70-594d5dd2eac90-gzip%22	http://gw2.voids.cn/static/Viewer/viewer.min.css	Z:/Downloads/web/gw2/gw2.voids.cn/static/Viewer/viewer.min.css	(from http://gw2.voids.cn/)
05:56:31	8422/8422	---M-Z	200	added ('OK')	text/css	etag:%2220e6-5a8346fe53368-gzip%22	http://gw2.voids.cn/static/material-pro/assets/plugins/wizard/steps.css	Z:/Downloads/web/gw2/gw2.voids.cn/static/material-pro/assets/plugins/wizard/steps.css	(from http://gw2.voids.cn/)
05:56:31	233161/233161	---M-Z	200	added ('OK')	text/css	etag:%2238ec9-5a6f13e52d33b-gzip%22	http://gw2.voids.cn/static/material-pro/dark-frontend/css/style.css?v=2020.05.28	Z:/Downloads/web/gw2/gw2.voids.cn/static/material-pro/dark-frontend/css/stylef543.css	(from http://gw2.voids.cn/)
05:56:31	13678/13678	---M-Z	200	added ('OK')	text/css	etag:%22356e-5a64875cde00d-gzip%22	http://gw2.voids.cn/static/swiper-5.3.8/package/css/swiper.min.css	Z:/Downloads/web/gw2/gw2.voids.cn/static/swiper-5.3.8/package/css/swiper.min.css	(from http://gw2.voids.cn/)
05:56:32	3402/3402	---M-Z	200	added ('OK')	text/css	etag:%22d4a-5a64bd64c242b-gzip%22	http://gw2.voids.cn/static/material-pro/dark-frontend/css/colors/default-dark.css	Z:/Downloads/web/gw2/gw2.voids.cn/static/material-pro/dark-frontend/css/colors/default-dark.css	(from http://gw2.voids.cn/)
